review_case,session_date,or_minutes,selection_basis,human_review_status,human_notes,validation_preset,trigger_type,trigger_id,trigger_label,reference_price,or_open,or_high,or_low,or_close,start_side,touch,trade_through,close_through,reject,sweep,earlier_window,later_window,earlier_high,earlier_low,later_high,later_low,took_earlier_high,took_earlier_low,liquidity_path_state,classification_summary,human_reviewer,human_reviewed_at
NARROW_OR,2024-07-04,15,smallest populated OR width,PASS,Human visual review: narrow OR passed.,OR,OR_WIDTH,or_width_points,Opening Range width,,20405.5,20406.25,20387.5,20394.5,,,,,,,,,,,,,,,,OR width = 18.75 points,project_owner,2026-09-01
WIDE_OR,2025-04-07,30,largest populated OR width,PASS,Human visual review: wide OR passed.,OR,OR_WIDTH,or_width_points,Opening Range width,,16928.0,17297.0,16673.5,17274.25,,,,,,,,,,,,,,,,OR width = 623.50 points,project_owner,2026-09-01
PREVIOUS_DAY_LEVEL_TOUCH,2024-06-26,20,previous-day high/low TOUCH,PASS,"Previous Day High 19981.00: TOUCH=true, TRADE_THROUGH=true, CLOSE_THROUGH=false, REJECT=true, SWEEP=true; OR high 19981.50 and OR close 19978.00.",PREVIOUS DAY,KEY_LEVEL_INTERACTION,previous_day_high,Previous Day High,19981.0,19929.0,19981.5,19918.5,19978.0,BELOW,True,True,False,True,True,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=false · REJECT=true · SWEEP=true,project_owner,2026-09-01
CLEAN_TRADE_THROUGH,2024-06-27,15,same previous-day level TRADE_THROUGH plus CLOSE_THROUGH without REJECT,PASS,"Previous Day High 20070.50: TOUCH=true, TRADE_THROUGH=true, CLOSE_THROUGH=true, REJECT=false, SWEEP=false; OR high 20101.25 and OR close 20074.75.",PREVIOUS DAY,KEY_LEVEL_INTERACTION,previous_day_high,Previous Day High,20070.5,19990.5,20101.25,19989.75,20074.75,BELOW,True,True,True,False,False,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=true · REJECT=false · SWEEP=false,project_owner,2026-09-01
SWEEP,2024-06-26,20,previous-day level SWEEP,PASS,Same verified Previous Day High event as PREVIOUS_DAY_LEVEL_TOUCH: traded beyond and closed back on the original side.,PREVIOUS DAY,KEY_LEVEL_INTERACTION,previous_day_high,Previous Day High,19981.0,19929.0,19981.5,19918.5,19978.0,BELOW,True,True,False,True,True,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=false · REJECT=true · SWEEP=true,project_owner,2026-09-01
CLOSE_THROUGH,2024-06-27,15,previous-day level CLOSE_THROUGH,PASS,Same verified Previous Day High event as CLEAN_TRADE_THROUGH: OR closed above the level after starting below it.,PREVIOUS DAY,KEY_LEVEL_INTERACTION,previous_day_high,Previous Day High,20070.5,19990.5,20101.25,19989.75,20074.75,BELOW,True,True,True,False,False,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=true · REJECT=false · SWEEP=false,project_owner,2026-09-01
ASIA_INTERACTION,2024-06-24,15,ASIA high/low TOUCH,PASS,"Asia Low is 19917.00 in the canonical feature row (the supplied note cited 19924.75). OR opened 19922.00 above it, traded below it, and closed 19904.00 below it: TOUCH/TRADE_THROUGH/CLOSE_THROUGH=true; REJECT/SWEEP=false.",ASIA,KEY_LEVEL_INTERACTION,asia_low,Asia Low,19917.0,19922.0,19965.25,19886.75,19904.0,ABOVE,True,True,True,False,False,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=true · REJECT=false · SWEEP=false,project_owner,2026-09-01
LONDON_INTERACTION,2024-06-21,30,LONDON high/low TOUCH,PASS,"Trigger is London Low 19947.50 (not Asia Low). OR opened 20017.00 above it, traded below it, and closed 19952.75 back above it: TOUCH/TRADE_THROUGH/REJECT/SWEEP=true; CLOSE_THROUGH=false.",LONDON,KEY_LEVEL_INTERACTION,london_low,London Low,19947.5,20017.0,20027.75,19914.0,19952.75,ABOVE,True,True,False,True,True,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=false · REJECT=true · SWEEP=true,project_owner,2026-09-01
NY_PREMARKET_INTERACTION,2024-06-21,15,NY_PREMARKET high/low TOUCH,PASS,"NY pre-market Low 19978.25: OR opened above, traded below, and closed 19988.75 back above it; TOUCH/TRADE_THROUGH/REJECT/SWEEP=true and CLOSE_THROUGH=false.",NY PRE-MARKET,KEY_LEVEL_INTERACTION,ny_premarket_low,NY Pre-Market Low,19978.25,20017.0,20027.75,19973.5,19988.75,ABOVE,True,True,False,True,True,,,,,,,,,,TOUCH=true · TRADE_THROUGH=true · CLOSE_THROUGH=false · REJECT=true · SWEEP=true,project_owner,2026-09-01
LIQUIDITY_PATH_SEQUENCE,2024-06-24,15,non-NEITHER pre-open liquidity-path state,PASS,Human confirmed the explicit completed-window sequence: London took the Asia high only; NY pre-market took the London low only; NY pre-market took neither Asia extreme.,LIQUIDITY PATH,LIQUIDITY_PATH,london_took_asia,London versus Asia,,19922.0,19965.25,19886.75,19904.0,,,,,,,Asia,London,20019.0,19917.0,20030.0,19982.0,True,False,HIGH_ONLY,London took Asia high=true · low=false · state=HIGH_ONLY,project_owner,2026-09-02
