review_case,session_date,or_minutes,selection_basis,human_review_status,human_notes
NARROW_OR,2024-07-04,15,smallest populated OR width,PENDING_HUMAN_REVIEW,
WIDE_OR,2025-04-07,30,largest populated OR width,PENDING_HUMAN_REVIEW,
PREVIOUS_DAY_LEVEL_TOUCH,2024-06-26,20,previous-day high/low TOUCH,PENDING_HUMAN_REVIEW,
CLEAN_TRADE_THROUGH,2024-06-27,15,previous-day level TRADE_THROUGH plus CLOSE_THROUGH,PENDING_HUMAN_REVIEW,
SWEEP,2024-06-26,20,previous-day level SWEEP,PENDING_HUMAN_REVIEW,
CLOSE_THROUGH,2024-06-27,15,previous-day level CLOSE_THROUGH,PENDING_HUMAN_REVIEW,
ASIA_INTERACTION,2024-06-24,15,ASIA high/low TOUCH,PENDING_HUMAN_REVIEW,
LONDON_INTERACTION,2024-06-21,30,LONDON high/low TOUCH,PENDING_HUMAN_REVIEW,
NY_PREMARKET_INTERACTION,2024-06-21,15,NY_PREMARKET high/low TOUCH,PENDING_HUMAN_REVIEW,
LIQUIDITY_PATH_SEQUENCE,2024-06-24,15,non-NEITHER pre-open liquidity-path state,PENDING_HUMAN_REVIEW,
GLOBEX_GAP_FILLED,2024-06-25,15,GLOBEX_REOPEN_GAP state FILLED,PENDING_HUMAN_REVIEW,
GLOBEX_GAP_PARTIAL,2024-07-18,15,GLOBEX_REOPEN_GAP state PARTIAL,PENDING_HUMAN_REVIEW,
GLOBEX_GAP_OPEN,2024-07-24,15,GLOBEX_REOPEN_GAP state OPEN,PENDING_HUMAN_REVIEW,
INCOMPLETE_SOURCE_WINDOW,2024-06-21,15,overnight: DATASET_BOUNDARY,PENDING_HUMAN_REVIEW,
