feature_id,feature_family,calculation_window,timezone,earliest_availability_timestamp,causal,required_warmup,normalization_method,source_columns,missing_data_behavior
session_date,audit_identity,not applicable,America/New_York,row identity,True,none,none,derived identity,required
contract,audit_identity,not applicable,America/New_York,row identity,True,none,none,derived identity,required
timezone,audit_identity,not applicable,America/New_York,row identity,True,none,none,derived identity,required
timestamp_semantics,audit_identity,not applicable,America/New_York,row identity,True,none,none,derived identity,required
asia_feature_available,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_expected_bars,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_observed_bars,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_available_at,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_missing_reason,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_first_bar_end,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_last_bar_end,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_open,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_high,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_low,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_close,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_range_points,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_reference_price,key_level_interaction,configured OR,America/New_York,OR completion,True,none,none,OR OHLC; causal key-level price,unavailable flags and null distances
asia_range_pct,preopen_asia,asia,America/New_York,00:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_net_move_points,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_net_move_pct,preopen_asia,asia,America/New_York,00:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_direction,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_efficiency,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_high_timestamp,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
asia_low_timestamp,preopen_asia,asia,America/New_York,00:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_feature_available,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_expected_bars,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_observed_bars,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_available_at,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_missing_reason,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_first_bar_end,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_last_bar_end,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_open,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_high,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_low,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_close,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_range_points,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_reference_price,key_level_interaction,configured OR,America/New_York,OR completion,True,none,none,OR OHLC; causal key-level price,unavailable flags and null distances
london_range_pct,preopen_london,london,America/New_York,05:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_net_move_points,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_net_move_pct,preopen_london,london,America/New_York,05:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_direction,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_efficiency,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_high_timestamp,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
london_low_timestamp,preopen_london,london,America/New_York,05:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_feature_available,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_expected_bars,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_observed_bars,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_available_at,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_missing_reason,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_first_bar_end,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_last_bar_end,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_open,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_high,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_low,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_close,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_range_points,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_reference_price,key_level_interaction,configured OR,America/New_York,OR completion,True,none,none,OR OHLC; causal key-level price,unavailable flags and null distances
ny_premarket_range_pct,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_net_move_points,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_net_move_pct,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_direction,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_efficiency,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_high_timestamp,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
ny_premarket_low_timestamp,preopen_new_york,ny_premarket,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_feature_available,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_expected_bars,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_observed_bars,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_available_at,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_missing_reason,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_first_bar_end,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_last_bar_end,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_open,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_high,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_low,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_close,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_range_points,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_reference_price,key_level_interaction,configured OR,America/New_York,OR completion,True,none,none,OR OHLC; causal key-level price,unavailable flags and null distances
overnight_range_pct,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_net_move_points,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_net_move_pct,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_direction,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_efficiency,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_high_timestamp,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
overnight_low_timestamp,preopen_overnight,overnight,America/New_York,09:30 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_feature_available,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_expected_bars,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_observed_bars,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_available_at,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_missing_reason,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_first_bar_end,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_last_bar_end,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_open,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_high,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_low,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_close,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_range_points,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_reference_price,key_level_interaction,configured OR,America/New_York,OR completion,True,none,none,OR OHLC; causal key-level price,unavailable flags and null distances
combined_preopen_range_pct,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_net_move_points,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_net_move_pct,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,decimal ratio using the explicitly recorded reference price,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_direction,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_efficiency,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_high_timestamp,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
combined_preopen_low_timestamp,preopen_combined,combined_preopen,America/New_York,09:00 ET,True,none,none,timestamp_et; OHLC,null/unavailable unless every expected bar exists
previous_rth_feature_available,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_expected_bars,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_observed_bars,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_available_at,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_missing_reason,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_first_bar_end,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_last_bar_end,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_open,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_high,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_low,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_close,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_range_points,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
previous_rth_reference_price,previous_rth_levels,prior trading session 09:30-16:00 market time,America/New_York,prior session 16:00 ET,True,none,none,prior session_date; OHLC,null/unavailable without complete prior RTH
